,age group,job,nuptial,education,defaulter_presence,balance_amount,house_loan,personal_loan,contact_via,last_contact_day,last_contact_month,duration,campaign,passed_days,previous_contact,y
0,5,4,3,2,0,2143.0,1,0,0,5,5,261.0,1.0,3,0,0
1,4,9,4,1,0,29.0,1,0,0,5,5,151.0,1.0,3,0,0
2,3,2,3,1,0,2.0,1,1,0,5,5,76.0,1.0,3,0,0
3,4,1,3,1,0,1506.0,1,0,0,5,5,92.0,1.0,3,0,0
4,3,4,3,2,0,231.0,1,0,0,5,5,139.0,1.0,3,0,0
5,2,4,4,2,0,447.0,1,1,0,5,5,217.0,1.0,3,0,0
6,4,2,1,2,1,2.0,1,0,0,5,5,380.0,1.0,3,0,0
7,5,5,3,0,0,121.0,1,0,0,5,5,50.0,1.0,3,0,0
8,4,9,4,1,0,593.0,1,0,0,5,5,55.0,1.0,3,0,0
9,4,0,1,1,0,270.0,1,0,0,5,5,222.0,1.0,3,0,0
10,2,0,4,1,0,390.0,1,0,0,5,5,137.0,1.0,3,0,0
11,5,9,3,1,0,6.0,1,0,0,5,5,517.0,1.0,3,0,0
12,5,9,3,1,0,71.0,1,0,0,5,5,71.0,1.0,3,0,0
13,5,7,3,1,0,162.0,1,0,0,5,5,174.0,1.0,3,0,0
14,5,5,3,0,0,229.0,1,0,0,5,5,353.0,1.0,3,0,0
15,4,0,4,1,0,13.0,1,0,0,5,5,98.0,1.0,3,0,0
16,5,1,3,0,0,52.0,1,0,0,5,5,38.0,1.0,3,0,0
17,6,5,3,0,0,60.0,1,0,0,5,5,219.0,1.0,3,0,0
18,3,7,3,1,0,0.0,1,0,0,5,5,54.0,1.0,3,0,0
19,2,1,3,1,0,723.0,1,1,0,5,5,262.0,1.0,3,0,0
20,5,4,3,2,0,779.0,1,0,0,5,5,164.0,1.0,3,0,0
21,3,1,4,0,0,23.0,1,1,0,5,5,160.0,1.0,3,0,0
22,2,7,3,1,0,50.0,1,0,0,5,5,342.0,1.0,3,0,0
23,4,5,3,0,0,0.0,1,1,0,5,5,181.0,1.0,3,0,0
24,4,0,3,1,0,-372.0,1,0,0,5,5,172.0,1.0,3,0,0
